"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"694",944240,4862,82,816,0,2080976976
"695",944275,4855,80,790,0,2083968846
"696",944266,4887,82,765,0,2086960908
"697",944208,4935,106,751,0,2089955920
"698",944114,5016,105,765,0,2092945893
"699",944160,4986,97,757,0,2095941802
"700",944182,4930,94,794,0,2098934106
"701",944194,4915,107,784,0,2101914825
"702",944104,5013,93,790,0,2104902296
"703",944129,4995,83,793,0,2107893160
"704",944122,5019,84,775,0,2110892643
"705",944070,5077,74,779,0,2113896839
"706",944074,5041,86,799,0,2116900869
"707",944046,5075,108,771,0,2119895801
"708",944033,5069,100,798,0,2122891908
"709",944035,5099,101,765,0,2125882986
"710",944021,5126,99,754,0,2128871978
"711",943906,5229,96,769,0,2131873809
