"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"602",940506,8110,188,1196,0,1806025219
"603",940534,8057,193,1216,0,1809022263
"604",940590,8057,181,1172,0,1812025383
"605",940575,8069,158,1198,0,1815023460
"606",940613,7960,167,1260,0,1818021328
"607",940549,8044,190,1217,0,1821011593
"608",940453,8128,196,1223,0,1824014711
"609",940525,8049,173,1253,0,1827008527
"610",940410,8119,194,1277,0,1830003462
"611",940415,8100,193,1292,0,1833000666
"612",940547,8055,183,1215,0,1835985760
"613",940429,8142,178,1251,0,1838978071
"614",940497,8029,194,1280,0,1841970066
"615",940498,8019,186,1297,0,1844960847
"616",940331,8184,191,1294,0,1847950819
"617",940327,8193,157,1323,0,1850945411
"618",940426,8117,154,1303,0,1853940128
"619",940469,8063,144,1324,0,1856941278
"620",940429,8007,172,1392,0,1859928923
"621",940447,8024,157,1372,0,1862921264
"622",940366,8063,175,1396,0,1865926330
"623",940373,8069,194,1364,0,1868907896
"624",940324,8085,192,1399,0,1871891974
"625",940322,8145,167,1366,0,1874883040
"626",940339,8096,180,1385,0,1877883061
"627",940296,8121,187,1396,0,1880879673
"628",940355,8084,175,1386,0,1883869045
"629",940301,8139,177,1383,0,1886868412
"630",940397,8011,184,1408,0,1889870097
"631",940350,8077,173,1400,0,1892859810
"632",940405,8024,176,1395,0,1895859465
"633",940323,8149,162,1366,0,1898848202
"634",940280,8192,167,1361,0,1901844076
"635",940285,8192,156,1367,0,1904837582
"636",940329,8110,149,1412,0,1907841082
"637",940377,8140,166,1317,0,1910831045
"638",940473,8039,183,1305,0,1913825601
"639",940460,8055,190,1295,0,1916825445
"640",940464,8034,165,1337,0,1919826246
"641",940454,8036,170,1340,0,1922819300
"642",940426,8058,191,1325,0,1925814848
"643",940349,8062,243,1346,0,1928807783
"644",940413,7994,240,1353,0,1931804642
"645",940397,8028,263,1312,0,1934793754
"646",940382,8001,262,1355,0,1937788668
"647",940188,8154,282,1376,0,1940778508
"648",940070,8285,261,1384,0,1943777355
"649",940125,8209,270,1396,0,1946774304
"650",940076,8345,254,1325,0,1949763491
"651",940083,8378,257,1282,0,1952767433
"652",940048,8426,252,1274,0,1955761958
"653",940121,8370,246,1263,0,1958754624
"654",940045,8395,243,1317,0,1961741459
"655",939941,8499,228,1332,0,1964736535
"656",939794,8584,233,1389,0,1967723069
"657",939711,8626,229,1434,0,1970720951
"658",939703,8689,212,1396,0,1973710998
"659",939778,8646,226,1350,0,1976710145
"660",939650,8773,243,1334,0,1979707771
"661",939582,8820,254,1344,0,1982709627
"662",939513,8905,242,1340,0,1985709065
"663",939490,8909,242,1359,0,1988704686
"664",939572,8816,222,1390,0,1991688960
"665",939518,8898,206,1378,0,1994681977
"666",939411,9011,199,1379,0,1997689041
"667",939341,9064,183,1412,0,2000680087
"668",939341,9062,160,1437,0,2003676849
"669",939351,9059,154,1436,0,2006666113
"670",939154,9182,165,1499,0,2009659983
"671",939184,9192,157,1467,0,2012658359
"672",939145,9242,162,1451,0,2015654535
"673",939260,9174,155,1411,0,2018642643
"674",939358,9101,148,1393,0,2021628257
"675",939255,9177,139,1429,0,2024616233
"676",939342,9143,134,1381,0,2027620987
"677",939299,9156,141,1404,0,2030622720
"678",939210,9243,173,1374,0,2033621532
"679",939224,9231,175,1370,0,2036626109
"680",939222,9114,185,1479,0,2039610826
"681",939110,9231,175,1484,0,2042612153
"682",939068,9311,185,1436,0,2045608876
"683",939067,9241,204,1488,0,2048604063
"684",939091,9204,194,1511,0,2051598708
"685",939038,9209,189,1564,0,2054598526
"686",939007,9250,186,1557,0,2057593021
"687",938946,9308,195,1551,0,2060575677
"688",938882,9330,206,1582,0,2063566201
"689",938956,9252,212,1580,0,2066558847
"690",938857,9310,215,1618,0,2069551420
"691",938850,9388,231,1531,0,2072536624
"692",938897,9397,194,1512,0,2075530935
"693",938921,9327,209,1543,0,2078509766
"694",938822,9420,204,1554,0,2081492565
